Date, national ENPA %
2021-12-30, 0.39945652173913043
2021-12-31, 0.39972826086956526
2022-01-01, 0.4
2022-01-02, 0.40055555555555555
2022-01-03, 0.40111111111111114
2022-01-04, 0.40166666666666667
2022-01-05, 0.40222222222222226
2022-01-06, 0.4027777777777778
2022-01-07, 0.4033333333333334
2022-01-08, 0.4038888888888889
2022-01-09, 0.40444444444444444
2022-01-10, 0.405
2022-01-11, 0.40555555555555556
2022-01-12, 0.40611111111111114
2022-01-13, 0.4066666666666667
2022-01-14, 0.40722222222222226
2022-01-15, 0.4077777777777778
2022-01-16, 0.4083333333333333
2022-01-17, 0.4088888888888889
2022-01-18, 0.40944444444444444
2022-01-19, 0.41000000000000003
2022-01-20, 0.41055555555555556
2022-01-21, 0.41111111111111115
2022-01-22, 0.4116666666666667
2022-01-23, 0.41222222222222227
2022-01-24, 0.4127777777777778
2022-01-25, 0.41333333333333333
2022-01-26, 0.4138888888888889
2022-01-27, 0.41444444444444445
2022-01-28, 0.41500000000000004
2022-01-29, 0.41555555555555557
2022-01-30, 0.41611111111111115
2022-01-31, 0.4166666666666667
2022-02-01, 0.4172222222222222
2022-02-02, 0.4177777777777778
2022-02-03, 0.41833333333333333
2022-02-04, 0.4188888888888889
2022-02-05, 0.41944444444444445
2022-02-06, 0.42000000000000004
2022-02-07, 0.42055555555555557
2022-02-08, 0.4211111111111111
2022-02-09, 0.4216666666666667
2022-02-10, 0.4222222222222222
2022-02-11, 0.4227777777777778
2022-02-12, 0.42333333333333334
2022-02-13, 0.4238888888888889
2022-02-14, 0.42444444444444446
2022-02-15, 0.42500000000000004
2022-02-16, 0.4255555555555556
2022-02-17, 0.4261111111111111
2022-02-18, 0.4266666666666667
2022-02-19, 0.4272222222222222
2022-02-20, 0.4277777777777778
2022-02-21, 0.42833333333333334
2022-02-22, 0.4288888888888889
2022-02-23, 0.42944444444444446
2022-02-24, 0.43
2022-02-25, 0.4305555555555556
2022-02-26, 0.4311111111111111
2022-02-27, 0.4316666666666667
2022-02-28, 0.43222222222222223
2022-03-01, 0.4327777777777778
2022-03-02, 0.43333333333333335
2022-03-03, 0.4338888888888889
2022-03-04, 0.43444444444444447
2022-03-05, 0.435
2022-03-06, 0.4355555555555556
2022-03-07, 0.4361111111111111
2022-03-08, 0.4366666666666667
2022-03-09, 0.43722222222222223
2022-03-10, 0.4377777777777778
2022-03-11, 0.43833333333333335
2022-03-12, 0.4388888888888889
2022-03-13, 0.43944444444444447
2022-03-14, 0.44
2022-03-15, 0.4405555555555556
2022-03-16, 0.4411111111111111
2022-03-17, 0.44166666666666665
2022-03-18, 0.44222222222222224
2022-03-19, 0.44277777777777777
2022-03-20, 0.44333333333333336
2022-03-21, 0.4438888888888889
2022-03-22, 0.4444444444444445
2022-03-23, 0.445
2022-03-24, 0.4455555555555556
2022-03-25, 0.4461111111111111
2022-03-26, 0.44666666666666666
2022-03-27, 0.44722222222222224
2022-03-28, 0.4477777777777778
2022-03-29, 0.44833333333333336
2022-03-30, 0.4488888888888889
2022-03-31, 0.4494444444444445
2022-04-01, 0.45
2022-04-02, 0.45
2022-04-03, 0.45
2022-04-04, 0.45
2022-04-05, 0.45
2022-04-06, 0.45
2022-04-07, 0.45
2022-04-08, 0.45
2022-04-09, 0.45
2022-04-10, 0.45
2022-04-11, 0.45
2022-04-12, 0.45
2022-04-13, 0.45
2022-04-14, 0.45
2022-04-15, 0.45
2022-04-16, 0.45
2022-04-17, 0.45
2022-04-18, 0.45
2022-04-19, 0.45
2022-04-20, 0.45
2022-04-21, 0.45
2022-04-22, 0.45
2022-04-23, 0.45
2022-04-24, 0.45
2022-04-25, 0.45
2022-04-26, 0.45
2022-04-27, 0.45
2022-04-28, 0.45
2022-04-29, 0.45
2022-04-30, 0.45
2022-05-01, 0.45
2022-05-02, 0.45
2022-05-03, 0.45
2022-05-04, 0.45
2022-05-05, 0.45
2022-05-06, 0.45
2022-05-07, 0.45
2022-05-08, 0.45
2022-05-09, 0.45
2022-05-10, 0.45
2022-05-11, 0.45
2022-05-12, 0.45
2022-05-13, 0.45
2022-05-14, 0.45
2022-05-15, 0.45
2022-05-16, 0.45
2022-05-17, 0.45
2022-05-18, 0.45
2022-05-19, 0.45
2022-05-20, 0.45
2022-05-21, 0.45
2022-05-22, 0.45
2022-05-23, 0.45
2022-05-24, 0.45
2022-05-25, 0.45
2022-05-26, 0.45
2022-05-27, 0.45
2022-05-28, 0.45
2022-05-29, 0.45
2022-05-30, 0.45
2022-05-31, 0.45
2022-06-01, 0.45
2022-06-02, 0.45
2022-06-03, 0.45
2022-06-04, 0.45
2022-06-05, 0.45
2022-06-06, 0.45
2022-06-07, 0.45
2022-06-08, 0.45
2022-06-09, 0.45
2022-06-10, 0.45
2022-06-11, 0.45
2022-06-12, 0.45
2022-06-13, 0.45
2022-06-14, 0.45
2022-06-15, 0.45
2022-06-16, 0.45
2022-06-17, 0.45
2022-06-18, 0.45
2022-06-19, 0.45
2022-06-20, 0.45
2022-06-21, 0.45
2022-06-22, 0.45
2022-06-23, 0.45
2022-06-24, 0.45
2022-06-25, 0.45
2022-06-26, 0.45
2022-06-27, 0.45
2022-06-28, 0.45
2022-06-29, 0.45
2022-06-30, 0.45
2022-07-01, 0.45
2022-07-02, 0.45
2022-07-03, 0.45
2022-07-04, 0.45
2022-07-05, 0.45
2022-07-06, 0.45
2022-07-07, 0.45
2022-07-08, 0.45
2022-07-09, 0.45
2022-07-10, 0.45
2022-07-11, 0.45
2022-07-12, 0.45
2022-07-13, 0.45
2022-07-14, 0.45
2022-07-15, 0.45
2022-07-16, 0.45
2022-07-17, 0.45
2022-07-18, 0.45
2022-07-19, 0.45
2022-07-20, 0.45
2022-07-21, 0.45
2022-07-22, 0.45
2022-07-23, 0.45
2022-07-24, 0.45
2022-07-25, 0.45
2022-07-26, 0.45
2022-07-27, 0.45
2022-07-28, 0.45
2022-07-29, 0.45
2022-07-30, 0.45
2022-07-31, 0.45
2022-08-01, 0.45
2022-08-02, 0.45
2022-08-03, 0.45
2022-08-04, 0.45
